from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
SrpR,Repression,pSrpR,3,-,,0.00;0.41;0.22
LmrA,Repression,pLmrA,3,-,,0.94;0.30;0.14
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
AmtR,Repression,pAmtR,3,-,,0.23;0.66;0.88
HlyIIR,Repression,pHlyIIR,3,-,,0.56;0.78;0.24
