design_name,parts,
Design A000P000: job_1710841913901_A000P000,Escar,pLuxStar,RiboJ53,P1,PhlF,ECK120033737,Xscar,pPhlF,fadD,RiboJ54,F1,AmeR,L3S3P31,Vscar,fadD,pHlyIIR,ScmJ,R1,PsrA,ECK120015440,Uscar,galEP2,RiboJ51,H1,HlyIIR,ECK120033736,Fscar,fadD,BydvJ,A1,AmtR,L3S2P55,Cscar
Design A000P001: job_1710841913901_A000P001,Escar,pLuxStar,RiboJ53,P1,PhlF,ECK120033737,Xscar,pPhlF,fadD,RiboJ54,F1,AmeR,L3S3P31,Vscar,pHlyIIR,fadD,ScmJ,R1,PsrA,ECK120015440,Uscar,galEP2,RiboJ51,H1,HlyIIR,ECK120033736,Fscar,fadD,BydvJ,A1,AmtR,L3S2P55,Cscar
